# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ECSPGSQL;60;1430499795;-1;81.53;0.00;11.49;2.63;1.05;3.29
ECSPGSQL;60;1430499795;0;81.50;0.00;11.47;2.65;1.03;3.35
ECSPGSQL;60;1430499795;1;81.61;0.00;11.52;2.60;1.05;3.22
ECSPGSQL;60;1430499855;-1;81.79;0.00;11.67;2.39;1.02;3.12
ECSPGSQL;60;1430499855;0;81.65;0.00;11.65;2.43;1.02;3.25
ECSPGSQL;60;1430499855;1;81.91;0.00;11.68;2.37;1.03;3.02
ECSPGSQL;60;1430499915;-1;82.10;0.00;11.17;2.38;1.08;3.26
ECSPGSQL;60;1430499915;0;82.07;0.00;11.22;2.35;1.07;3.30
ECSPGSQL;60;1430499915;1;82.17;0.00;11.12;2.42;1.10;3.20
ECSPGSQL;60;1430499975;-1;82.78;0.00;11.29;2.06;1.12;2.74
ECSPGSQL;60;1430499975;0;82.94;0.00;11.20;2.02;1.13;2.72
ECSPGSQL;60;1430499975;1;82.61;0.00;11.39;2.10;1.13;2.77
ECSPGSQL;60;1430500035;-1;82.85;0.00;11.03;2.06;1.08;2.99
ECSPGSQL;60;1430500035;0;82.71;0.00;11.06;2.08;1.07;3.08
ECSPGSQL;60;1430500035;1;83.00;0.00;11.00;2.02;1.08;2.90
ECSPGSQL;60;1430500095;-1;82.67;0.00;11.12;2.19;1.03;2.98
ECSPGSQL;60;1430500095;0;82.65;0.00;11.15;2.23;1.02;2.95
ECSPGSQL;60;1430500095;1;82.67;0.00;11.11;2.15;1.03;3.03
ECSPGSQL;60;1430500155;-1;82.93;0.00;11.11;2.12;1.05;2.79
ECSPGSQL;60;1430500155;0;82.76;0.00;11.18;2.32;1.05;2.70
ECSPGSQL;60;1430500155;1;83.08;0.00;11.04;1.95;1.07;2.87
ECSPGSQL;60;1430500215;-1;81.68;0.00;11.20;2.52;1.05;3.55
ECSPGSQL;60;1430500215;0;81.85;0.00;10.97;2.15;1.05;3.98
ECSPGSQL;60;1430500215;1;81.54;0.00;11.41;2.88;1.03;3.13
ECSPGSQL;60;1430500275;-1;78.83;0.00;12.20;3.05;1.06;4.86
ECSPGSQL;60;1430500275;0;78.95;0.00;12.02;2.73;1.05;5.25
ECSPGSQL;60;1430500275;1;78.71;0.00;12.39;3.37;1.07;4.47
ECSPGSQL;60;1430500335;-1;78.97;0.00;12.09;3.04;1.03;4.87
ECSPGSQL;60;1430500335;0;79.13;0.00;12.08;2.88;1.00;4.90
ECSPGSQL;60;1430500335;1;78.82;0.00;12.12;3.18;1.07;4.82
