ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1430499735.50476,dbt2,22567,10,mark,dbt2-client,,-1,2015-05-01 18:02:14.271288+01,2015-05-01 18:02:15.502069+01,2015-05-01 18:02:15.50227+01,f,FETCH ALL IN mycursor,active,2015-05-01 18:02:15.50227+01
1430499735.50476,dbt2,22571,10,mark,dbt2-client,,-1,2015-05-01 18:02:14.371181+01,,2015-05-01 18:02:15.471578+01,f,COMMIT,idle,2015-05-01 18:02:15.471971+01
1430499735.50476,dbt2,22573,10,mark,dbt2-client,,-1,2015-05-01 18:02:14.471271+01,,2015-05-01 18:02:15.476422+01,f,COMMIT,idle,2015-05-01 18:02:15.478234+01
1430499735.50476,dbt2,22575,10,mark,dbt2-client,,-1,2015-05-01 18:02:14.571407+01,,2015-05-01 18:02:15.472997+01,f,COMMIT,idle,2015-05-01 18:02:15.476343+01
1430499735.50476,dbt2,22577,10,mark,dbt2-client,,-1,2015-05-01 18:02:14.671494+01,,2015-05-01 18:02:15.478289+01,f,COMMIT,idle,2015-05-01 18:02:15.4808+01
1430499735.50476,dbt2,22579,10,mark,dbt2-client,,-1,2015-05-01 18:02:14.771591+01,,2015-05-01 18:02:15.480876+01,f,COMMIT,idle,2015-05-01 18:02:15.484544+01
1430499735.50476,dbt2,22581,10,mark,dbt2-client,,-1,2015-05-01 18:02:14.871692+01,,2015-05-01 18:02:15.492821+01,f,COMMIT,idle,2015-05-01 18:02:15.493261+01
1430499735.50476,dbt2,22583,10,mark,dbt2-client,,-1,2015-05-01 18:02:14.971796+01,,2015-05-01 18:02:15.494513+01,f,COMMIT,idle,2015-05-01 18:02:15.495937+01
1430499735.50476,dbt2,22585,10,mark,dbt2-client,,-1,2015-05-01 18:02:15.071865+01,,2015-05-01 18:02:15.456843+01,f,COMMIT,idle,2015-05-01 18:02:15.457222+01
1430499735.50476,dbt2,22587,10,mark,dbt2-client,,-1,2015-05-01 18:02:15.171971+01,,2015-05-01 18:02:15.502576+01,f,COMMIT,idle,2015-05-01 18:02:15.502917+01
1430499735.50476,dbt2,22589,10,mark,dbt2-client,,-1,2015-05-01 18:02:15.272125+01,,2015-05-01 18:02:15.498443+01,f,COMMIT,idle,2015-05-01 18:02:15.49989+01
1430499735.50476,dbt2,22660,10,mark,dbt2-client,,-1,2015-05-01 18:02:15.375791+01,,2015-05-01 18:02:15.488834+01,f,COMMIT,idle,2015-05-01 18:02:15.490601+01
1430499735.50476,dbt2,22711,10,mark,dbt2-client,,-1,2015-05-01 18:02:15.477522+01,,,f,"",idle,2015-05-01 18:02:15.478746+01
1430499735.50476,dbt2,22716,10,mark,psql,,-1,2015-05-01 18:02:15.503454+01,2015-05-01 18:02:15.504756+01,2015-05-01 18:02:15.504756+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-01 18:02:15.504761+01
1430499735.50476,dbt2,22714,10,mark,psql,,-1,2015-05-01 18:02:15.494655+01,2015-05-01 18:02:15.496052+01,2015-05-01 18:02:15.496052+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-01 18:02:15.496057+01
1430499735.50476,dbt2,22713,10,mark,psql,,-1,2015-05-01 18:02:15.498619+01,,2015-05-01 18:02:15.499997+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",idle,2015-05-01 18:02:15.501882+01
1430499795.51698,dbt2,22567,10,mark,dbt2-client,,-1,2015-05-01 18:02:14.271288+01,2015-05-01 18:03:15.474976+01,2015-05-01 18:03:15.516709+01,f,COMMIT,active,2015-05-01 18:03:15.516709+01
1430499795.51698,dbt2,22571,10,mark,dbt2-client,,-1,2015-05-01 18:02:14.371181+01,2015-05-01 18:03:15.490112+01,2015-05-01 18:03:15.490664+01,t,"SELECT payment(2, 3, 0, 2, 3, 'EINGATIONEING', 4313.830000)",active,2015-05-01 18:03:15.490665+01
1430499795.51698,dbt2,22573,10,mark,dbt2-client,,-1,2015-05-01 18:02:14.471271+01,2015-05-01 18:03:15.474782+01,2015-05-01 18:03:15.474838+01,t,"SELECT payment(2, 6, 0, 3, 8, 'ABLEESEESE', 4117.300000)",active,2015-05-01 18:03:15.474839+01
1430499795.51698,dbt2,22575,10,mark,dbt2-client,,-1,2015-05-01 18:02:14.571407+01,2015-05-01 18:03:15.467717+01,2015-05-01 18:03:15.46808+01,t,"SELECT payment(1, 8, 1789, 1, 8, '', 3892.060000)",active,2015-05-01 18:03:15.468081+01
